Scenario,data_type,Dataset,Seed,Fold,number_parts,number_ratios,comp_time,base_dims,Approach,MCC,AUC,AUC.UC_CD,AUC.nonIBD_UC,AUC.nonIBD_CD
Empirical,proteomics,ihmp-multiomics_seed15_fold2,15,2,104,686,NA,276,ridgeRegression,0.6038820664515552,0.7407407407407407,0.8333333333333334,0.8,0.7416666666666667
Empirical,proteomics,ihmp-multiomics_seed15_fold2,15,2,101,556,NA,276,ridgeEnsemble,0.5324653083668428,0.7430555555555556,0.8194444444444444,0.8,0.725
Empirical,proteomics,ihmp-multiomics_seed15_fold2,15,2,102,629,NA,276,rfRFE,0.5692901019676485,0.7435185185185185,0.8055555555555556,0.7833333333333333,0.7333333333333334
Empirical,HILIC-neg,ihmp-multiomics_seed15_fold2,15,2,65,289,NA,114,ridgeRegression,0.6921312002066481,0.8560185185185185,0.6805555555555556,0.9666666666666667,0.8333333333333334
Empirical,HILIC-neg,ihmp-multiomics_seed15_fold2,15,2,65,234,NA,114,ridgeEnsemble,0.7028689363313004,0.8291666666666666,0.638888888888889,0.9666666666666667,0.8166666666666667
Empirical,HILIC-neg,ihmp-multiomics_seed15_fold2,15,2,58,132,NA,114,rfRFE,0.6628959328964138,0.8347222222222221,0.638888888888889,0.95,0.8333333333333334
Empirical,HILIC-pos,ihmp-multiomics_seed15_fold2,15,2,131,529,NA,175,ridgeRegression,0.5454356208891212,0.7171296296296297,0.6944444444444444,0.8833333333333333,0.6916666666666667
Empirical,HILIC-pos,ihmp-multiomics_seed15_fold2,15,2,130,406,NA,175,ridgeEnsemble,0.5551825131363057,0.7495370370370369,0.5972222222222222,0.9333333333333333,0.7
Empirical,HILIC-pos,ihmp-multiomics_seed15_fold2,15,2,99,194,NA,175,rfRFE,0.5115280488830645,0.7337962962962963,0.6527777777777778,0.9166666666666666,0.6916666666666667
Empirical,mgxFunctions,ihmp-multiomics_seed15_fold2,15,2,270,2935,NA,360,ridgeRegression,0.32247593974133,0.5620370370370371,0.5694444444444444,0.5499999999999999,0.5083333333333333
Empirical,mgxFunctions,ihmp-multiomics_seed15_fold2,15,2,268,2370,NA,360,ridgeEnsemble,0.4225256466090537,0.6041666666666666,0.75,0.6,0.5666666666666667
Empirical,mgxFunctions,ihmp-multiomics_seed15_fold2,15,2,246,974,NA,360,rfRFE,0.3810519405056542,0.5800925925925925,0.611111111111111,0.5833333333333334,0.5166666666666667
Empirical,metatranscriptomics,ihmp-multiomics_seed15_fold2,15,2,86,431,NA,228,ridgeRegression,0.40446494196375243,0.48657407407407405,0.611111111111111,0.65,0.675
Empirical,metatranscriptomics,ihmp-multiomics_seed15_fold2,15,2,85,323,NA,228,ridgeEnsemble,0.4865506959295017,0.47824074074074074,0.6111111111111112,0.5833333333333334,0.7
Empirical,metatranscriptomics,ihmp-multiomics_seed15_fold2,15,2,75,209,NA,228,rfRFE,0.4632286800590778,0.49675925925925923,0.625,0.5666666666666667,0.6083333333333334
Empirical,mgxTaxonomy,ihmp-multiomics_seed15_fold2,15,2,100,379,NA,134,ridgeRegression,0.45309864362474767,0.5796296296296296,0.6111111111111112,0.6166666666666666,0.5666666666666667
Empirical,mgxTaxonomy,ihmp-multiomics_seed15_fold2,15,2,96,288,NA,134,ridgeEnsemble,0.441731406295294,0.638425925925926,0.6666666666666666,0.7,0.5583333333333333
Empirical,mgxTaxonomy,ihmp-multiomics_seed15_fold2,15,2,69,114,NA,134,rfRFE,0.40157928470812165,0.6138888888888888,0.7083333333333334,0.6666666666666666,0.5333333333333333
Empirical,integrated-penRegression,ihmp-multiomics_seed15_fold2,15,2,797,2183,NA,2252,penRegression,0.4548353962503073,0.7162037037037037,0.5833333333333334,0.9166666666666666,0.5666666666666667
Empirical,integrated-rfe,ihmp-multiomics_seed15_fold2,15,2,535,851,NA,2252,rfe,0.557070495833767,0.7578703703703704,0.4722222222222222,0.9666666666666667,0.6583333333333333
