Scenario,data_type,Dataset,Seed,Fold,number_parts,number_ratios,comp_time,base_dims,Approach,MCC,AUC,AUC.UC_CD,AUC.nonIBD_UC,AUC.nonIBD_CD
Empirical,proteomics,ihmp-multiomics_seed7_fold2,7,2,52,250,NA,276,ridgeRegression,0.44245696863924733,0.7076923076923076,0.6923076923076923,0.6833333333333333,0.72435897435897445
Empirical,proteomics,ihmp-multiomics_seed7_fold2,7,2,52,194,NA,276,ridgeEnsemble,0.46626995301337815,0.6912393162393162,0.6307692307692307,0.6666666666666667,0.75
Empirical,proteomics,ihmp-multiomics_seed7_fold2,7,2,50,153,NA,276,rfRFE,0.44245696863924733,0.6816239316239315,0.6307692307692307,0.6666666666666667,0.717948717948718
Empirical,HILIC-neg,ihmp-multiomics_seed7_fold2,7,2,44,182,NA,114,ridgeRegression,0.5210198124734112,0.7485042735042735,0.5076923076923077,0.8833333333333333,0.782051282051282
Empirical,HILIC-neg,ihmp-multiomics_seed7_fold2,7,2,44,153,NA,114,ridgeEnsemble,0.538245077376947,0.7579059829059829,0.49230769230769234,0.9166666666666666,0.782051282051282
Empirical,HILIC-neg,ihmp-multiomics_seed7_fold2,7,2,42,69,NA,114,rfRFE,0.5749345183201768,0.7502136752136752,0.5230769230769231,0.9,0.7756410256410257
Empirical,HILIC-pos,ihmp-multiomics_seed7_fold2,7,2,131,506,NA,175,ridgeRegression,0.4548146945285536,0.6314102564102564,0.5846153846153846,0.7833333333333333,0.5512820512820513
Empirical,HILIC-pos,ihmp-multiomics_seed7_fold2,7,2,131,412,NA,175,ridgeEnsemble,0.41255254076373776,0.6461538461538461,0.4769230769230769,0.8333333333333333,0.5769230769230769
Empirical,HILIC-pos,ihmp-multiomics_seed7_fold2,7,2,121,299,NA,175,rfRFE,0.40122141485843626,0.6506410256410257,0.47692307692307695,0.8666666666666667,0.5833333333333334
Empirical,mgxFunctions,ihmp-multiomics_seed7_fold2,7,2,204,1152,NA,363,ridgeRegression,0.34619954936462877,0.4666666666666667,0.6615384615384615,0.6333333333333334,0.5576923076923077
Empirical,mgxFunctions,ihmp-multiomics_seed7_fold2,7,2,199,903,NA,363,ridgeEnsemble,0.4041369633809742,0.4514957264957265,0.7538461538461538,0.6166666666666667,0.5512820512820513
Empirical,mgxFunctions,ihmp-multiomics_seed7_fold2,7,2,166,342,NA,363,rfRFE,0.3796118346030953,0.4871794871794871,0.7230769230769231,0.6000000000000001,0.5064102564102564
Empirical,metatranscriptomics,ihmp-multiomics_seed7_fold2,7,2,132,813,NA,234,ridgeRegression,0.41490014015318183,0.6452991452991453,0.4461538461538461,0.65,0.6923076923076924
Empirical,metatranscriptomics,ihmp-multiomics_seed7_fold2,7,2,130,655,NA,234,ridgeEnsemble,0.33627486422458325,0.5938034188034188,0.5538461538461539,0.55,0.6474358974358975
Empirical,metatranscriptomics,ihmp-multiomics_seed7_fold2,7,2,96,227,NA,234,rfRFE,0.2888686771518705,0.5544871794871795,0.5846153846153846,0.4666666666666667,0.6538461538461539
Empirical,mgxTaxonomy,ihmp-multiomics_seed7_fold2,7,2,97,476,NA,129,ridgeRegression,0.5238458765896523,0.5260683760683761,0.7230769230769231,0.6333333333333333,0.6602564102564104
Empirical,mgxTaxonomy,ihmp-multiomics_seed7_fold2,7,2,96,360,NA,129,ridgeEnsemble,0.417579188253022,0.5476495726495726,0.7076923076923077,0.55,0.6794871794871795
Empirical,mgxTaxonomy,ihmp-multiomics_seed7_fold2,7,2,82,180,NA,129,rfRFE,0.41874359257411425,0.5226495726495727,0.676923076923077,0.5333333333333334,0.6217948717948718
Empirical,integrated-penRegression,ihmp-multiomics_seed7_fold2,7,2,640,1254,NA,1270,penRegression,0.461100006769535,0.6664529914529914,0.5692307692307692,0.7666666666666667,0.5384615384615384
Empirical,integrated-rfe,ihmp-multiomics_seed7_fold2,7,2,614,1171,NA,1270,rfe,0.4920789898553255,0.6581196581196581,0.6615384615384615,0.75,0.5641025641025641
