Scenario,data_type,Dataset,Seed,Fold,number_parts,number_ratios,comp_time,base_dims,Approach,MCC,AUC,AUC.UC_CD,AUC.nonIBD_UC,AUC.nonIBD_CD
Empirical,proteomics,ihmp-multiomics_seed20_fold2,20,2,206,2190,NA,275,ridgeRegression,0.4755214190775507,0.6505439005439004,0.6153846153846154,0.712121212121212,0.6083916083916084
Empirical,proteomics,ihmp-multiomics_seed20_fold2,20,2,206,1738,NA,275,ridgeEnsemble,0.47123474473984256,0.6934731934731935,0.6153846153846154,0.7424242424242424,0.6433566433566433
Empirical,proteomics,ihmp-multiomics_seed20_fold2,20,2,203,1811,NA,275,rfRFE,0.41362515529651295,0.6744366744366745,0.576923076923077,0.7121212121212122,0.6573426573426574
Empirical,HILIC-neg,ihmp-multiomics_seed20_fold2,20,2,44,204,NA,114,ridgeRegression,0.5172034181896571,0.7468919968919968,0.5256410256410257,0.9090909090909091,0.8111888111888113
Empirical,HILIC-neg,ihmp-multiomics_seed20_fold2,20,2,44,148,NA,114,ridgeEnsemble,0.5512443031238959,0.7643745143745143,0.5128205128205128,0.9393939393939394,0.8251748251748252
Empirical,HILIC-neg,ihmp-multiomics_seed20_fold2,20,2,40,93,NA,114,rfRFE,0.5508783655109447,0.767871017871018,0.5128205128205128,0.9393939393939394,0.8461538461538461
Empirical,HILIC-pos,ihmp-multiomics_seed20_fold2,20,2,34,76,NA,175,ridgeRegression,0.5001358255040731,0.7076534576534577,0.5769230769230769,0.8939393939393939,0.6643356643356644
Empirical,HILIC-pos,ihmp-multiomics_seed20_fold2,20,2,33,65,NA,175,ridgeEnsemble,0.4958724910358742,0.7344599844599845,0.5256410256410257,0.9848484848484849,0.6923076923076923
Empirical,HILIC-pos,ihmp-multiomics_seed20_fold2,20,2,32,67,NA,175,rfRFE,0.5162352396711952,0.7181429681429681,0.6025641025641025,0.9545454545454546,0.6923076923076923
Empirical,mgxFunctions,ihmp-multiomics_seed20_fold2,20,2,271,2915,NA,361,ridgeRegression,0.44464793241839323,0.6111111111111112,0.858974358974359,0.7121212121212122,0.4965034965034965
Empirical,mgxFunctions,ihmp-multiomics_seed20_fold2,20,2,271,2378,NA,361,ridgeEnsemble,0.5137503125373047,0.6709401709401709,0.8205128205128206,0.7878787878787878,0.5804195804195804
Empirical,mgxFunctions,ihmp-multiomics_seed20_fold2,20,2,237,834,NA,361,rfRFE,0.42452968401879854,0.6509324009324009,0.8076923076923077,0.7727272727272727,0.4545454545454546
Empirical,metatranscriptomics,ihmp-multiomics_seed20_fold2,20,2,170,1635,NA,227,ridgeRegression,0.32706584867308064,0.5085470085470085,0.5384615384615385,0.5606060606060606,0.4965034965034965
Empirical,metatranscriptomics,ihmp-multiomics_seed20_fold2,20,2,170,1291,NA,227,ridgeEnsemble,0.3517680439949865,0.5034965034965034,0.6153846153846154,0.5606060606060606,0.5244755244755245
Empirical,metatranscriptomics,ihmp-multiomics_seed20_fold2,20,2,140,384,NA,227,rfRFE,0.19898348355610895,0.4854312354312354,0.46153846153846156,0.46969696969696967,0.5314685314685315
Empirical,mgxTaxonomy,ihmp-multiomics_seed20_fold2,20,2,73,449,NA,129,ridgeRegression,0.4902673978086969,0.553030303030303,0.7307692307692308,0.696969696969697,0.5874125874125874
Empirical,mgxTaxonomy,ihmp-multiomics_seed20_fold2,20,2,72,386,NA,129,ridgeEnsemble,0.47206398772249075,0.5856643356643356,0.6923076923076923,0.7727272727272727,0.5734265734265734
Empirical,mgxTaxonomy,ihmp-multiomics_seed20_fold2,20,2,69,273,NA,129,rfRFE,0.49013017347800353,0.6095571095571095,0.7051282051282052,0.8484848484848485,0.5594405594405595
Empirical,integrated-penRegression,ihmp-multiomics_seed20_fold2,20,2,869,3317,NA,3462,penRegression,0.48837558957653754,0.672105672105672,0.6282051282051282,0.9393939393939394,0.5454545454545454
Empirical,integrated-rfe,ihmp-multiomics_seed20_fold2,20,2,792,2116,NA,3462,rfe,0.49832801115191644,0.6973581973581974,0.7051282051282052,0.8333333333333334,0.5594405594405595
