Scenario,data_type,Dataset,Seed,Fold,number_parts,number_ratios,comp_time,base_dims,Approach,MCC,AUC,AUC.UC_CD,AUC.nonIBD_UC,AUC.nonIBD_CD
Empirical,proteomics,ihmp-multiomics_seed11_fold2,11,2,209,1817,NA,279,ridgeRegression,0.296462565901348,0.4716666666666667,0.6000000000000001,0.5333333333333333,0.49
Empirical,proteomics,ihmp-multiomics_seed11_fold2,11,2,209,1446,NA,279,ridgeEnsemble,0.3031270834390404,0.4361111111111111,0.6166666666666667,0.6166666666666667,0.49
Empirical,proteomics,ihmp-multiomics_seed11_fold2,11,2,176,644,NA,279,rfRFE,0.3692018626466788,0.45555555555555555,0.6166666666666667,0.5833333333333333,0.55
Empirical,HILIC-neg,ihmp-multiomics_seed11_fold2,11,2,86,567,NA,114,ridgeRegression,0.37111326024008534,0.661111111111111,0.5166666666666667,0.8166666666666667,0.49
Empirical,HILIC-neg,ihmp-multiomics_seed11_fold2,11,2,85,448,NA,114,ridgeEnsemble,0.4155577046845298,0.6622222222222223,0.5166666666666667,0.9,0.47
Empirical,HILIC-neg,ihmp-multiomics_seed11_fold2,11,2,75,214,NA,114,rfRFE,0.4593401835742116,0.6738888888888888,0.5166666666666667,0.95,0.49
Empirical,HILIC-pos,ihmp-multiomics_seed11_fold2,11,2,131,265,NA,175,ridgeRegression,0.4916657770131419,0.6938888888888888,0.5166666666666666,0.9666666666666667,0.6
Empirical,HILIC-pos,ihmp-multiomics_seed11_fold2,11,2,120,213,NA,175,ridgeEnsemble,0.6278831253239809,0.7166666666666666,0.5833333333333333,1,0.6
Empirical,HILIC-pos,ihmp-multiomics_seed11_fold2,11,2,60,79,NA,175,rfRFE,0.6571186712869723,0.7088888888888889,0.5666666666666667,1,0.65
Empirical,mgxFunctions,ihmp-multiomics_seed11_fold2,11,2,204,2022,NA,361,ridgeRegression,0.3962267160260392,0.4894444444444444,0.6,0.5333333333333333,0.54
Empirical,mgxFunctions,ihmp-multiomics_seed11_fold2,11,2,204,1610,NA,361,ridgeEnsemble,0.3838179279205096,0.4666666666666666,0.5833333333333333,0.6,0.52
Empirical,mgxFunctions,ihmp-multiomics_seed11_fold2,11,2,186,799,NA,361,rfRFE,0.3555857130873308,0.44666666666666666,0.55,0.5833333333333334,0.55
Empirical,metatranscriptomics,ihmp-multiomics_seed11_fold2,11,2,172,1585,NA,229,ridgeRegression,0.5592186924654967,0.22444444444444445,0.8333333333333334,0.65,0.86
Empirical,metatranscriptomics,ihmp-multiomics_seed11_fold2,11,2,171,1284,NA,229,ridgeEnsemble,0.5740136463846591,0.23944444444444446,0.7833333333333333,0.65,0.87
Empirical,metatranscriptomics,ihmp-multiomics_seed11_fold2,11,2,162,598,NA,229,rfRFE,0.5388092983129854,0.27,0.7166666666666667,0.65,0.8200000000000001
Empirical,mgxTaxonomy,ihmp-multiomics_seed11_fold2,11,2,98,762,NA,130,ridgeRegression,0.4634343380226104,0.6483333333333333,0.6166666666666667,0.8666666666666667,0.49
Empirical,mgxTaxonomy,ihmp-multiomics_seed11_fold2,11,2,97,621,NA,130,ridgeEnsemble,0.4086333576495111,0.6361111111111111,0.6333333333333333,0.8166666666666667,0.54
Empirical,mgxTaxonomy,ihmp-multiomics_seed11_fold2,11,2,92,407,NA,130,rfRFE,0.39057496550512266,0.6611111111111111,0.6333333333333333,0.7666666666666667,0.55
Empirical,integrated-penRegression,ihmp-multiomics_seed11_fold2,11,2,896,2682,NA,2741,penRegression,0.36883888644869156,0.5522222222222222,0.55,0.75,0.6
Empirical,integrated-rfe,ihmp-multiomics_seed11_fold2,11,2,714,1462,NA,2741,rfe,0.41763824137061156,0.5816666666666667,0.6,0.8,0.57
