Scenario,data_type,Dataset,Seed,Fold,number_parts,number_ratios,comp_time,base_dims,Approach,MCC,AUC,AUC.UC_CD,AUC.nonIBD_UC,AUC.nonIBD_CD
Empirical,proteomics,ihmp-multiomics_seed1_fold2,1,2,211,2443,NA,281,ridgeRegression,0.42633006065145324,0.5634920634920635,0.7,0.5535714285714286,0.6190476190476191
Empirical,proteomics,ihmp-multiomics_seed1_fold2,1,2,211,1908,NA,281,ridgeEnsemble,0.4418667762951608,0.6220238095238094,0.7083333333333333,0.5535714285714286,0.6761904761904762
Empirical,proteomics,ihmp-multiomics_seed1_fold2,1,2,191,713,NA,281,rfRFE,0.3409013279265313,0.592063492063492,0.6833333333333333,0.5178571428571428,0.6571428571428571
Empirical,HILIC-neg,ihmp-multiomics_seed1_fold2,1,2,65,105,NA,114,ridgeRegression,0.608832954084082,0.7428571428571429,0.6083333333333334,0.7857142857142857,0.8857142857142857
Empirical,HILIC-neg,ihmp-multiomics_seed1_fold2,1,2,61,86,NA,114,ridgeEnsemble,0.5176399929704496,0.6922619047619047,0.575,0.6964285714285714,0.8285714285714286
Empirical,HILIC-neg,ihmp-multiomics_seed1_fold2,1,2,33,40,NA,114,rfRFE,0.5157735219303157,0.6956349206349206,0.5583333333333333,0.6964285714285714,0.8666666666666667
Empirical,HILIC-pos,ihmp-multiomics_seed1_fold2,1,2,98,326,NA,175,ridgeRegression,0.4470958221592812,0.6791666666666667,0.6166666666666667,0.8571428571428571,0.5333333333333333
Empirical,HILIC-pos,ihmp-multiomics_seed1_fold2,1,2,94,266,NA,175,ridgeEnsemble,0.3648953188180533,0.6964285714285714,0.575,0.875,0.4666666666666667
Empirical,HILIC-pos,ihmp-multiomics_seed1_fold2,1,2,68,121,NA,175,rfRFE,0.4503912997188393,0.6938492063492063,0.5583333333333333,0.8571428571428571,0.5142857142857142
Empirical,mgxFunctions,ihmp-multiomics_seed1_fold2,1,2,272,2983,NA,362,ridgeRegression,0.34537520505236446,0.5073412698412698,0.8166666666666667,0.4642857142857143,0.4666666666666666
Empirical,mgxFunctions,ihmp-multiomics_seed1_fold2,1,2,270,2390,NA,362,ridgeEnsemble,0.4247416855239863,0.5402777777777777,0.8583333333333334,0.4642857142857143,0.5714285714285714
Empirical,mgxFunctions,ihmp-multiomics_seed1_fold2,1,2,233,683,NA,362,rfRFE,0.314261398192136,0.5301587301587302,0.8166666666666667,0.4464285714285714,0.4952380952380952
Empirical,metatranscriptomics,ihmp-multiomics_seed1_fold2,1,2,170,1316,NA,226,ridgeRegression,0.2910869411615075,0.4448412698412698,0.6833333333333333,0.46428571428571425,0.5333333333333333
Empirical,metatranscriptomics,ihmp-multiomics_seed1_fold2,1,2,170,1045,NA,226,ridgeEnsemble,0.24136705645607368,0.44345238095238093,0.43333333333333335,0.5357142857142857,0.5428571428571428
Empirical,metatranscriptomics,ihmp-multiomics_seed1_fold2,1,2,150,542,NA,226,rfRFE,0.33492434652682035,0.4396825396825397,0.65,0.5535714285714286,0.5523809523809524
Empirical,mgxTaxonomy,ihmp-multiomics_seed1_fold2,1,2,99,583,NA,132,ridgeRegression,0.33233667178636084,0.5882936507936507,0.8083333333333333,0.39285714285714285,0.5619047619047619
Empirical,mgxTaxonomy,ihmp-multiomics_seed1_fold2,1,2,98,466,NA,132,ridgeEnsemble,0.36196214326672116,0.6170634920634921,0.7833333333333333,0.39285714285714285,0.638095238095238
Empirical,mgxTaxonomy,ihmp-multiomics_seed1_fold2,1,2,89,266,NA,132,rfRFE,0.4394095024431734,0.5950396825396825,0.8,0.42857142857142855,0.6190476190476191
Empirical,integrated-penRegression,ihmp-multiomics_seed1_fold2,1,2,882,2300,NA,2365,penRegression,0.48229755562998217,0.6474206349206348,0.825,0.8392857142857143,0.4476190476190476
Empirical,integrated-rfe,ihmp-multiomics_seed1_fold2,1,2,820,1813,NA,2365,rfe,0.5242127946280103,0.7422619047619048,0.85,0.9285714285714286,0.419047619047619
