Scenario,data_type,Dataset,Seed,Fold,number_parts,number_ratios,comp_time,base_dims,Approach,MCC,AUC,AUC.UC_CD,AUC.nonIBD_UC,AUC.nonIBD_CD
Empirical,proteomics,ihmp-multiomics_seed12_fold2,12,2,200,2065,NA,267,ridgeRegression,0.35349317387860524,0.5759637188208616,0.5,0.5119047619047619,0.75
Empirical,proteomics,ihmp-multiomics_seed12_fold2,12,2,200,1631,NA,267,ridgeEnsemble,0.33772359940049107,0.5933956916099772,0.5306122448979592,0.5238095238095238,0.7678571428571428
Empirical,proteomics,ihmp-multiomics_seed12_fold2,12,2,171,615,NA,267,rfRFE,0.39997892493057563,0.5816326530612245,0.5510204081632653,0.5,0.7916666666666666
Empirical,HILIC-neg,ihmp-multiomics_seed12_fold2,12,2,86,689,NA,114,ridgeRegression,0.4594974866613742,0.7070578231292517,0.673469387755102,0.8571428571428571,0.6726190476190476
Empirical,HILIC-neg,ihmp-multiomics_seed12_fold2,12,2,85,536,NA,114,ridgeEnsemble,0.5460161521015336,0.7053571428571429,0.673469387755102,0.9285714285714286,0.625
Empirical,HILIC-neg,ihmp-multiomics_seed12_fold2,12,2,84,368,NA,114,rfRFE,0.4751059819363842,0.689484126984127,0.6836734693877551,0.8571428571428572,0.6190476190476191
Empirical,HILIC-pos,ihmp-multiomics_seed12_fold2,12,2,131,236,NA,175,ridgeRegression,0.5233573120714581,0.7242063492063491,0.6326530612244898,0.869047619047619,0.6428571428571428
Empirical,HILIC-pos,ihmp-multiomics_seed12_fold2,12,2,122,187,NA,175,ridgeEnsemble,0.5831510685528595,0.7294501133786847,0.6224489795918368,0.9166666666666666,0.625
Empirical,HILIC-pos,ihmp-multiomics_seed12_fold2,12,2,85,124,NA,175,rfRFE,0.5641728291443486,0.7403628117913832,0.6530612244897959,0.9523809523809523,0.6369047619047619
Empirical,mgxFunctions,ihmp-multiomics_seed12_fold2,12,2,68,286,NA,361,ridgeRegression,0.4770999744093703,0.3737244897959183,0.7755102040816326,0.8214285714285714,0.6130952380952381
Empirical,mgxFunctions,ihmp-multiomics_seed12_fold2,12,2,67,226,NA,361,ridgeEnsemble,0.4216618277450245,0.35629251700680264,0.7755102040816327,0.8095238095238094,0.5535714285714286
Empirical,mgxFunctions,ihmp-multiomics_seed12_fold2,12,2,39,76,NA,361,rfRFE,0.4493442297756264,0.38109410430839,0.6326530612244898,0.7857142857142856,0.5654761904761905
Empirical,metatranscriptomics,ihmp-multiomics_seed12_fold2,12,2,178,1380,NA,237,ridgeRegression,0.43853878100763494,0.3696145124716553,0.7244897959183674,0.7142857142857143,0.5952380952380952
Empirical,metatranscriptomics,ihmp-multiomics_seed12_fold2,12,2,176,1087,NA,237,ridgeEnsemble,0.5349543883917682,0.376984126984127,0.7244897959183674,0.6666666666666666,0.6011904761904762
Empirical,metatranscriptomics,ihmp-multiomics_seed12_fold2,12,2,156,432,NA,237,rfRFE,0.36924399445104367,0.41227324263038545,0.6836734693877551,0.6666666666666666,0.5416666666666666
Empirical,mgxTaxonomy,ihmp-multiomics_seed12_fold2,12,2,94,519,NA,125,ridgeRegression,0.5464090086430031,0.5206916099773242,0.7653061224489796,0.8095238095238095,0.7738095238095238
Empirical,mgxTaxonomy,ihmp-multiomics_seed12_fold2,12,2,94,418,NA,125,ridgeEnsemble,0.45243320972276524,0.5549886621315192,0.7040816326530612,0.6904761904761905,0.7559523809523809
Empirical,mgxTaxonomy,ihmp-multiomics_seed12_fold2,12,2,89,236,NA,125,rfRFE,0.4993152342497247,0.5802154195011338,0.6734693877551021,0.6428571428571428,0.7916666666666666
Empirical,integrated-penRegression,ihmp-multiomics_seed12_fold2,12,2,782,1825,NA,1851,penRegression,0.42897335813551224,0.5588151927437641,0.7040816326530612,0.46428571428571425,0.7202380952380952
Empirical,integrated-rfe,ihmp-multiomics_seed12_fold2,12,2,405,555,NA,1851,rfe,0.5603517334055821,0.7216553287981858,0.6326530612244898,0.9047619047619048,0.7023809523809523
